2021-11-02 20:56:37.501 | INFO     | store.services.get_cart:get_check_coupon:103 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
2021-11-02 20:56:42.844 | INFO     | store.services.get_cart:get_check_coupon:103 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
2021-11-02 20:56:46.795 | INFO     | store.services.get_cart:get_check_coupon:103 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
2021-11-02 20:57:46.380 | INFO     | store.services.get_cart:get_check_coupon:104 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
2021-11-02 20:57:48.309 | INFO     | store.services.get_cart:get_check_coupon:104 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
2021-11-02 20:57:52.022 | INFO     | store.services.get_cart:get_check_coupon:104 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
2021-11-02 20:57:54.580 | INFO     | store.services.get_cart:get_check_coupon:104 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
2021-11-02 20:58:00.456 | INFO     | store.services.get_cart:get_check_coupon:104 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
2021-11-02 20:58:02.807 | INFO     | store.services.get_cart:get_check_coupon:104 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
2021-11-02 20:59:41.348 | INFO     | store.services.get_cart:get_check_coupon:104 - [<UserCoupon: Admin - KkQfrZD2 - 5>, <UserCoupon: Admin - EilzbTfD - 10>, <UserCoupon: Admin - ABIU6o9V - 20>]
